device,category,year,from_gb,to_gb,extra_gb,upcharge_usd,upcharge_per_gb,flash_ref_per_gb,markup_vs_flash_x,measured_date
iPhone 16,phone,2024,128,256,128,100,0.781,0.06,13.0,2026-07
iPhone 16,phone,2024,256,512,256,200,0.781,0.06,13.0,2026-07
iPhone 16 Pro,phone,2024,256,512,256,200,0.781,0.06,13.0,2026-07
iPhone 16 Pro,phone,2024,512,1024,512,200,0.391,0.06,6.5,2026-07
iPad Pro M4,tablet,2024,256,512,256,200,0.781,0.06,13.0,2026-07
iPad Pro M4,tablet,2024,512,1024,512,400,0.781,0.06,13.0,2026-07
iPad Pro M4,tablet,2024,1024,2048,1024,400,0.391,0.06,6.5,2026-07
MacBook Air M3,laptop,2024,256,512,256,200,0.781,0.06,13.0,2026-07
MacBook Air M3,laptop,2024,512,1024,512,200,0.391,0.06,6.5,2026-07
MacBook Air M3,laptop,2024,1024,2048,1024,400,0.391,0.06,6.5,2026-07
MacBook Pro 14 M4,laptop,2024,512,1024,512,200,0.391,0.06,6.5,2026-07
MacBook Pro 14 M4,laptop,2024,1024,2048,1024,400,0.391,0.06,6.5,2026-07
MacBook Pro 14 M4,laptop,2024,2048,4096,2048,600,0.293,0.06,4.9,2026-07
MacBook Pro 14 M4,laptop,2024,4096,8192,4096,1200,0.293,0.06,4.9,2026-07
Mac mini M4,desktop,2024,256,512,256,200,0.781,0.06,13.0,2026-07
Mac mini M4,desktop,2024,512,1024,512,400,0.781,0.06,13.0,2026-07
