clip,codec,codec_label,target_ssim,kbps
bbb-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.95,9600.9
bbb-720.mp4,h264,"H.264",0.95,1393.6
bbb-720.mp4,h265,"HEVC",0.95,1110.9
bbb-720.mp4,vp9,"VP9",0.95,1361.6
bbb-720.mp4,av1,"AV1",0.95,523.4
jellyfish-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.95,2015.1
jellyfish-720.mp4,h264,"H.264",0.95,740.3
jellyfish-720.mp4,h265,"HEVC",0.95,531.7
jellyfish-720.mp4,vp9,"VP9",0.95,656.5
jellyfish-720.mp4,av1,"AV1",0.95,363.6
bbb-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.97,17100.5
bbb-720.mp4,h264,"H.264",0.97,2343.9
bbb-720.mp4,h265,"HEVC",0.97,2029.7
bbb-720.mp4,vp9,"VP9",0.97,2946.9
bbb-720.mp4,av1,"AV1",0.97,1183.3
jellyfish-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.97,3027.2
jellyfish-720.mp4,h264,"H.264",0.97,1306.2
jellyfish-720.mp4,h265,"HEVC",0.97,957.0
jellyfish-720.mp4,vp9,"VP9",0.97,1215.4
jellyfish-720.mp4,av1,"AV1",0.97,827.3
sintel-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.97,1438.4
sintel-720.mp4,h264,"H.264",0.97,366.3
sintel-720.mp4,h265,"HEVC",0.97,208.1
sintel-720.mp4,vp9,"VP9",0.97,196.6
sintel-720.mp4,av1,"AV1",0.97,108.2
jellyfish-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.99,8376.3
jellyfish-720.mp4,h264,"H.264",0.99,3966.3
jellyfish-720.mp4,h265,"HEVC",0.99,3435.7
jellyfish-720.mp4,vp9,"VP9",0.99,4919.8
jellyfish-720.mp4,av1,"AV1",0.99,4371.5
sintel-720.mp4,mpeg4,"MPEG-4 ASP (Xvid/DivX)",0.99,3711.5
sintel-720.mp4,h264,"H.264",0.99,1336.9
sintel-720.mp4,h265,"HEVC",0.99,906.2
sintel-720.mp4,vp9,"VP9",0.99,1026.2
sintel-720.mp4,av1,"AV1",0.99,810.9
